id,logtime,campaignid,interactionid
151925412000204915,2018-02-22 00:01:34.388,1232120,7443884296972096163
151925424000383501,2018-02-22 00:03:38.516,1232120,6762670987676388834
151925445000332906,2018-02-22 00:07:08.500,1049355,4447456238837908290
151925451000278155,2018-02-22 00:08:08.624,1049355,7849994977622891877
151925460000338755,2018-02-22 00:09:41.835,1049355,6118732578500926419
151925514000635443,2018-02-22 00:18:38.398,1232120,7504779704886691341
151925577001278803,2018-02-22 00:29:29.946,1232120,3882062993379525390
151925640000789915,2018-02-22 00:39:53.723,1232120,3118698714159022549
151925763000153601,2018-02-22 01:00:06.006,1232120,5858026153576426022
151925766000538012,2018-02-22 01:00:46.955,1232120,2077633560293400015
151925766000637512,2018-02-22 01:00:51.092,1232120,2077633560293400015
151925766000756212,2018-02-22 01:00:54.778,1232120,2077633560293400015
151925826000539447,2018-02-22 01:10:49.776,1232120,6214579077323420302
151925871000648155,2018-02-22 01:18:29.280,1049355,6111235235342971668
151925889000372610,2018-02-22 01:21:12.488,1232120,238462142722827483
151925964000719816,2018-02-22 01:33:53.313,1232120,3051569305698758355
151925991000142910,2018-02-22 01:38:06.330,1232120,6744043856297426947
151926021000036923,2018-02-22 01:43:03.999,1232120,2348678809552296457
151926036000549016,2018-02-22 01:45:56.166,1232120,2192756626877140648
151926036000603109,2018-02-22 01:45:56.958,1232120,822204382042953267
151926105000394650,2018-02-22 01:57:17.285,1232120,6143854859219489393
151926276000201455,2018-02-22 02:25:39.523,1049355,99436016602322766
151926285000361648,2018-02-22 02:27:19.031,1232120,1920372575817007774
151926432000017216,2018-02-22 02:51:30.558,1232120,357513436024832591
151926438000058038,2018-02-22 02:52:32.875,1232120,1519288284545122992
151926456000859752,2018-02-22 02:55:59.965,1232120,606771642900613354
151926459000073152,2018-02-22 02:56:04.111,1232120,606771642900613354
151926459000133152,2018-02-22 02:56:06.704,1232120,606771642900613354
151926606000387504,2018-02-22 03:20:57.110,1232120,6696767551142633133
151926837000041108,2018-02-22 03:59:02.643,1232120,3620386071813082546
151926957000480720,2018-02-22 04:19:09.458,1232120,5830775055239267581
151927092000380637,2018-02-22 04:41:50.355,1232120,7322912604817204655
151927155000671511,2018-02-22 04:52:20.267,1232120,8240820880228329016
151927215000585327,2018-02-22 05:02:26.398,1232120,8646535032953425061
151927290000038512,2018-02-22 05:14:31.779,1232120,2069187168279963501
151927326000119841,2018-02-22 05:20:32.160,1232120,1856756451903909229
151927401001105403,2018-02-22 05:33:28.889,1232120,7915094640953144310
151927413000526414,2018-02-22 05:35:20.783,1049355,4492562507343790364
151927440000541553,2018-02-22 05:39:49.573,1020893,8679390023701995377
151927443000477333,2018-02-22 05:40:14.752,1232120,4134866933299087097
151927443000499734,2018-02-22 05:40:14.778,1232120,922419897216050480
151927473001314847,2018-02-22 05:45:18.012,1232120,3869603328837386585
151927533000046850,2018-02-22 05:55:02.761,1221633,7798487411820483593
151927554000762303,2018-02-22 05:58:52.349,1232120,348935172297278034
151927578000805217,2018-02-22 06:02:51.559,1232120,1417239537747817572
151927581000078655,2018-02-22 06:03:02.693,902565,6757822338902459981
151927581000111155,2018-02-22 06:03:04.277,902565,8375668265394623533
151927581000111855,2018-02-22 06:03:04.417,902565,801708270266536085
151927581000365912,2018-02-22 06:03:09.885,1232120,5877297570656733783
151927587000194639,2018-02-22 06:04:05.150,1199166,6660631247112319865
151927626000758231,2018-02-22 06:10:42.924,1049355,895404442888677221
151927686000293618,2018-02-22 06:20:36.335,1232120,6411627200948906743
151927686000236055,2018-02-22 06:20:40.737,1049355,5083289088221051474
151927716000257102,2018-02-22 06:25:35.892,1232120,6141980104292100886
151927746000000231,2018-02-22 06:30:30.050,1232120,1016572910314496226
151927755000380155,2018-02-22 06:32:15.809,1049355,9179267650014631004
151927767000253455,2018-02-22 06:34:11.028,1049355,5024665312701636768
151927848000745733,2018-02-22 06:47:42.761,1232120,4053968009928010325
151927848001150016,2018-02-22 06:47:49.295,1232120,3666343251314151449
151927875001675134,2018-02-22 06:52:26.179,1232120,2187319078853585075
151927905000199755,2018-02-22 06:57:05.967,1049355,848442049144623968
151927920000511306,2018-02-22 06:59:38.582,1232120,8683470571741321491
151927926001844152,2018-02-22 07:00:58.529,1232120,751889175706135716
151927929000811855,2018-02-22 07:01:27.652,1049355,5968112032698236074
151927932000343855,2018-02-22 07:01:42.012,1049355,3248389797477784463
151927944000274355,2018-02-22 07:03:37.556,1049355,7205790374681230858
151927971001362510,2018-02-22 07:08:20.257,1232120,7542677223637095589
151927980001014309,2018-02-22 07:09:43.893,1221633,8506305454757121517
151928064001223804,2018-02-22 07:23:48.147,1232120,4875217258205155295
151928076000204116,2018-02-22 07:25:32.580,1232120,2581656308127015651
151928079001676637,2018-02-22 07:26:24.822,1199166,790672581375253187
151928127000560953,2018-02-22 07:34:05.999,1232120,1980476777188126738
151928130001183817,2018-02-22 07:34:45.735,1232120,7860991942472341279
151928145000335411,2018-02-22 07:37:04.320,1232120,4574973341818940949
151928157000909602,2018-02-22 07:39:10.353,1232120,5779406382212060196
151928163001004033,2018-02-22 07:40:11.655,1232120,4513663012006454452
151928229000079155,2018-02-22 07:51:02.657,1049355,7162004996914691876
151928256001391153,2018-02-22 07:55:46.973,1232120,7463193421418675245
151928265000472030,2018-02-22 07:57:07.565,1232120,1599324801854094037
151928289002166639,2018-02-22 08:01:20.172,1232120,3007875215101085037
151928319000598128,2018-02-22 08:06:06.736,1232120,3018877789399094372
151928343000101521,2018-02-22 08:10:01.269,1232120,4448299069206001194
151928343000555821,2018-02-22 08:10:06.167,1232120,4448299069206001194
151928346000731526,2018-02-22 08:10:46.404,1232120,1848551971100935216
151928361002241540,2018-02-22 08:13:25.287,1232120,3249935705961192388
151928391000296148,2018-02-22 08:18:08.652,1232120,8364583640658948314
151928391000473648,2018-02-22 08:18:16.125,1232120,8364583640658948314
151928397000735155,2018-02-22 08:19:19.461,1049355,6919711806440105465
151928400001849940,2018-02-22 08:19:48.576,1232120,5424164997622447067
151928433002066242,2018-02-22 08:25:23.085,1232120,4250073032238586731
151928454000567634,2018-02-22 08:28:36.689,1232120,8460463991787023649
151928457002619119,2018-02-22 08:29:29.305,1232120,6805588314419431799
151928460002511119,2018-02-22 08:29:55.699,1232120,802632563695450867
151928463000319119,2018-02-22 08:30:03.158,1232120,802632563695450867
151928478001492950,2018-02-22 08:32:42.545,1232120,6266020787373061251
151928496002035010,2018-02-22 08:35:51.246,1232120,6130194848378989741
151928505000242416,2018-02-22 08:37:02.335,1232120,2221665073309293576
151928514000155714,2018-02-22 08:38:31.159,1232120,8145846437276292301
151928520000005912,2018-02-22 08:39:32.962,1232120,3107621209899106327
151928535000667343,2018-02-22 08:42:07.413,1232120,4449168370853124491
151928544002068247,2018-02-22 08:43:52.800,1232120,4965014149157052415
151928547001275844,2018-02-22 08:44:16.441,1020893,5933152512133785796
151928553000687909,2018-02-22 08:45:08.241,1232120,2992910329236327484
151928565002906857,2018-02-22 08:47:28.484,1232120,4111116222699058309
151928568000987253,2018-02-22 08:47:41.140,1232120,7552910574876186857
151928574002033553,2018-02-22 08:48:49.690,1232120,8270140871844723008
151928577000340026,2018-02-22 08:49:07.272,1232120,6939469924998795817
151928595000690020,2018-02-22 08:52:07.166,1232120,1992534575939256107
151928595000777530,2018-02-22 08:52:09.056,1020893,4178496212633132641
151928598002274010,2018-02-22 08:52:52.229,1232120,1612994512376108839
151928604001552403,2018-02-22 08:53:46.439,1049355,3535451935012381018
151928607000376918,2018-02-22 08:54:04.567,1232120,6233646656686648668
151928607001724244,2018-02-22 08:54:17.924,1232120,3538023249998710155
151928643000911502,2018-02-22 09:00:10.550,1232120,4612571038607308524
151928676000152804,2018-02-22 09:05:31.566,1232120,3264542812956491508
151928691001389849,2018-02-22 09:08:13.890,1232120,8967747140050716220
151928715001412453,2018-02-22 09:12:14.400,1232120,4278931307217372374
151928748003229750,2018-02-22 09:17:56.012,1232120,2004196815220680731
