id,logtime,interactionid
151925403000149618,2018-02-22 00:00:03.863,2975826529651648264
151925403000315809,2018-02-22 00:00:07.216,4564671159070995313
151925403000630610,2018-02-22 00:00:13.869,3565493259205775418
151925403001706337,2018-02-22 00:00:24.915,4008981623713202978
151925406000254037,2018-02-22 00:00:35.212,733358493393564048
151925406000351814,2018-02-22 00:00:37.242,5669815099585695597
151925406000625019,2018-02-22 00:00:42.069,1174546253452092090
151925406000636719,2018-02-22 00:00:42.238,1521385565486670709
151925406001169314,2018-02-22 00:00:53.659,1989540271762931628
151925409000015713,2018-02-22 00:01:00.165,3337024024241825174
151925409000310846,2018-02-22 00:01:07.714,8289522664141568292
151925409001355234,2018-02-22 00:01:28.951,6927949532140397739
151925412000428750,2018-02-22 00:01:39.295,4381028862560062737
151925412001182650,2018-02-22 00:01:54.985,303118880317979936
151925415001574619,2018-02-22 00:02:26.871,8040400508364612135
151925418000089510,2018-02-22 00:02:32.599,1166585688611077595
151925418000196920,2018-02-22 00:02:34.060,1039331722227815392
151925421000034306,2018-02-22 00:03:00.544,3087962326934796071
151925421000227502,2018-02-22 00:03:06.072,808533218222821939
151925421000884254,2018-02-22 00:03:21.474,431721642181382318
151925424000913815,2018-02-22 00:03:50.922,3265297824816897298
151925424001265201,2018-02-22 00:03:59.365,6845843556403080410
151925427000592326,2018-02-22 00:04:27.311,7582533443481458103
151925430000023714,2018-02-22 00:04:30.731,6245235309530256398
151925430000185326,2018-02-22 00:04:38.639,4841518907341827351
151925430000568005,2018-02-22 00:04:43.395,5980696485863033902
151925433000512929,2018-02-22 00:05:07.592,1575593541553018693
151925433000563131,2018-02-22 00:05:10.475,4970507070912912097
151925433001049005,2018-02-22 00:05:21.089,2537760656974753830
151925433001596329,2018-02-22 00:05:25.570,8516818778137863316
151925433001158005,2018-02-22 00:05:26.099,4115103971263784011
151925436000446210,2018-02-22 00:05:32.489,9104041615828197818
151925439001211250,2018-02-22 00:06:29.098,4605669201120351181
151925442000440211,2018-02-22 00:06:40.831,4959542048904783938
151925442001080305,2018-02-22 00:06:55.159,3075049364541519338
151925445000002721,2018-02-22 00:07:00.769,6557115597344875020
151925445000270306,2018-02-22 00:07:08.503,4447456238837908290
151925445000915305,2018-02-22 00:07:24.227,8506003171801398364
151925451000453305,2018-02-22 00:08:10.649,6527811966688114458
151925454000058433,2018-02-22 00:08:31.588,5707276439315744333
151925454000143310,2018-02-22 00:08:33.374,5801888745615892809
151925454000831012,2018-02-22 00:08:47.871,3284517328794372648
151925454000794727,2018-02-22 00:08:50.492,5196336163784737124
151925454001818525,2018-02-22 00:08:59.216,5585223779129645224
151925457000450031,2018-02-22 00:09:08.633,4158197353186441712
151925457000359703,2018-02-22 00:09:09.600,3887854782230878914
151925457001029528,2018-02-22 00:09:25.449,743104040743383261
151925457001108627,2018-02-22 00:09:27.543,1529685192157879269
151925460000585723,2018-02-22 00:09:58.968,8633158838092265344
151925463000361721,2018-02-22 00:10:10.141,7496629991831171037
151925463000585813,2018-02-22 00:10:10.169,4423978803131488221
151925463001020040,2018-02-22 00:10:26.916,5760571724455278129
151925466001060952,2018-02-22 00:10:51.404,680191999902118067
151925466000889234,2018-02-22 00:10:53.495,2642893341808729819
151925469000084734,2018-02-22 00:11:02.480,5816146941024350643
151925469000948756,2018-02-22 00:11:12.295,5490979779336479090
151925469000843803,2018-02-22 00:11:22.222,5225065946621435624
151925472000064653,2018-02-22 00:11:30.537,396843493818247985
151925472000079510,2018-02-22 00:11:32.422,649065764296819643
151925472000149015,2018-02-22 00:11:34.081,1391393054852446332
151925475000478721,2018-02-22 00:12:12.726,8915992300766175130
151925475000670731,2018-02-22 00:12:18.402,8901127442694895255
151925475001124334,2018-02-22 00:12:28.067,4518546447749960380
151925478001087438,2018-02-22 00:12:58.811,787422733126523500
151925478001117734,2018-02-22 00:12:59.835,263111243796622284
151925481000062404,2018-02-22 00:13:01.794,5368976513476721999
151925481000479616,2018-02-22 00:13:13.875,5325411159859360704
151925481000923836,2018-02-22 00:13:24.264,2204725440174131198
151925481000973834,2018-02-22 00:13:25.464,1794293861494571556
151925481001055244,2018-02-22 00:13:26.760,1233001174699809004
151925484001000437,2018-02-22 00:13:55.186,1883847695702392529
151925487000625446,2018-02-22 00:14:15.397,8284508720650629710
151925487000863836,2018-02-22 00:14:23.050,3032851329334651639
151925487000975534,2018-02-22 00:14:25.736,2651613849921448336
151925490000377738,2018-02-22 00:14:39.454,7013813068013534217
151925490000898303,2018-02-22 00:14:53.600,4503276786134147953
151925490001067816,2018-02-22 00:14:56.220,8449129271440209495
151925493000262308,2018-02-22 00:15:06.431,3285158388361391735
151925493000469036,2018-02-22 00:15:12.425,7098791516319464563
151925493000914337,2018-02-22 00:15:24.431,1948891266048330903
151925496000406916,2018-02-22 00:15:41.176,13914547248710179
151925496000668212,2018-02-22 00:15:47.516,4341552753211507313
151925496000916818,2018-02-22 00:15:53.790,5501988653921798100
151925496000937446,2018-02-22 00:15:55.185,3824594054676751512
151925496001106716,2018-02-22 00:15:58.069,396107532286427402
151925499000060416,2018-02-22 00:16:01.420,7688169165223575597
151925499000634518,2018-02-22 00:16:17.821,4348386626646639712
151925499000895138,2018-02-22 00:16:22.992,193125963851448033
151925499001062108,2018-02-22 00:16:26.894,3320498397216061731
151925505000973749,2018-02-22 00:17:25.828,1340587968493065907
151925508000029949,2018-02-22 00:17:31.157,8031756126958568886
151925508000075810,2018-02-22 00:17:32.413,2977034151579336668
151925508000156034,2018-02-22 00:17:35.076,5554255334620840270
151925508000228908,2018-02-22 00:17:36.693,9122289354492294512
151925508001192750,2018-02-22 00:17:58.007,7170007347861280282
151925508001133349,2018-02-22 00:17:59.378,547007713947129443
151925511000106508,2018-02-22 00:18:02.729,2998093662509177026
151925514000357108,2018-02-22 00:18:39.186,8465532426150007744
151925514001054946,2018-02-22 00:18:58.182,8942514679855863720
151925517000379831,2018-02-22 00:19:10.537,6713942649588517644
151925517000478652,2018-02-22 00:19:13.426,4546818473471822975
151925517000565308,2018-02-22 00:19:16.350,6692585753003475726
151925517000570546,2018-02-22 00:19:16.739,3290184282651589035
151925517001071908,2018-02-22 00:19:28.594,936846318292412122
151925520000253508,2018-02-22 00:19:36.598,8455321551155109166
151925520000324830,2018-02-22 00:19:38.677,474877121962436916
151925520000329509,2018-02-22 00:19:39.560,150661990711498044
151925520000929808,2018-02-22 00:19:53.320,5132577442029816046
151925520001036732,2018-02-22 00:19:56.895,1358622659890937750
151925523000412533,2018-02-22 00:20:12.246,7384376804660711330
151925523000800552,2018-02-22 00:20:23.205,1382823038421603007
151925526000151910,2018-02-22 00:20:32.352,9200533392463008295
151925526000477151,2018-02-22 00:20:37.437,5970031487374835703
151925526000322646,2018-02-22 00:20:39.726,4421128230862558011
151925526000455053,2018-02-22 00:20:42.007,8918807097935885458
151925526000540415,2018-02-22 00:20:45.121,1263627332827510879
